"Location","Expt_No","Depth","Time_Range","Population","Sample_Type","VP","VP_SE","VP_R_Squared","VP_Type"
"NJ2020","1","1","T0_T3","c_Viruses","VP",-82274.3425728505,61743.0079542815,0.307435252473028,"LM_AP"
"NJ2020","1","1","T0_T6","c_Viruses","VP",-676616.915422885,136624.36158298,0.777962116671153,"LM_AP"
"NJ2020","1","1","T0_T17","c_Viruses","VP",-127981.908638625,71588.5536780142,0.242195964382434,"LM_AP"
"NJ2020","1","1","T0_T20","c_Viruses","VP",9892.29253621603,61879.574381784,0.0019620179807618,"LM_AP"
"NJ2020","1","1","T0_T24","c_Viruses","VP",67939.6069843835,50963.1322182125,0.0999702376783343,"LM_AP"
"NJ2020","1","1","T0_T3","c_V1","VP",-91978.6000682125,64550.1487608075,0.33669279298342,"LM_AP"
"NJ2020","1","1","T0_T6","c_V1","VP",-516595.629728869,100139.520213739,0.791745953272385,"LM_AP"
"NJ2020","1","1","T0_T17","c_V1","VP",-88571.2349202272,55073.7447682467,0.205491827165915,"LM_AP"
"NJ2020","1","1","T0_T20","c_V1","VP",14236.1993133579,47131.6355674896,0.0069691926071281,"LM_AP"
"NJ2020","1","1","T0_T24","c_V1","VP",56932.7899915126,39344.3443963379,0.115725113753821,"LM_AP"
"NJ2020","1","1","T0_T3","c_V2","VP",-5629.69688591125,15099.2797088243,0.03358618695511,"LM_AP"
"NJ2020","1","1","T0_T6","c_V2","VP",-103574.989834223,22597.3388346394,0.750075938167149,"LM_AP"
"NJ2020","1","1","T0_T17","c_V2","VP",-23831.1994184227,10877.407917506,0.32432418977704,"LM_AP"
"NJ2020","1","1","T0_T20","c_V2","VP",-742.544646047556,9752.54550734269,0.000445730340771205,"LM_AP"
"NJ2020","1","1","T0_T24","c_V2","VP",10105.5027479126,8024.20960592195,0.0901869120200778,"LM_AP"
"NJ2020","1","1","T0_T3","c_V3","VP",15333.9543812736,13294.2360418052,0.249586982584171,"LM_AP"
"NJ2020","1","1","T0_T6","c_V3","VP",-56446.2958597935,16664.8766442213,0.621063002514159,"LM_AP"
"NJ2020","1","1","T0_T17","c_V3","VP",-15579.4742999754,6497.15187710273,0.365074943512701,"LM_AP"
"NJ2020","1","1","T0_T20","c_V3","VP",-3601.36213109461,5479.82265986825,0.0321560407833462,"LM_AP"
"NJ2020","1","1","T0_T24","c_V3","VP",901.314244957734,4191.30119742932,0.00288191612626951,"LM_AP"
"NJ2020","1","1","T0_T3","c_Viruses","VPC",-37754.086709311,61299.0175202281,0.0866189501742997,"LM_AP"
